Title,Newspaper,Date,Section,Body,Policy Narrative,Unit of Analysis,Hero,Villain,Victim,Beneficiary,Ally,Opponent,Ineffective,Setting,Plot,Moral,Moral Description,Belief System,Narrative Strategy
'One more monitoring system need of the hour',The Times of India (TOI),11-08-2016,GURGAON,"GURGAON: Haryana State Pollution Control Board (HSPCB) has expressed the need to install at least one more air pollution monitoring system in the city, as air pollution touched alarming levels in the city over the past few days.""It won't take more than 15 days to get approval from our state head office to install a new air pollution monitoring machine, as the board will get aid from the Centre for it,"" said a HSPCB official, requesting anonymity. He added, ""The challenge has been getting land allotted to install the machine. We need a plot of 1,000 sq yd to install it, and mark a no-disturbance zone around the device.""While Delhi has 12 air monitoring stations, Millennium City has only one. 
In 2012, a team from Central Pollution Control Board (CPCB) considered three locations - Iffco Chowk, Vikas Sadan near Rajiv Chowk and Cyber City - for installing a stationary air pollution monitoring machine. Eventually, Vikas Sadan was chosen as the site as it was the only land available.The system was installed in 2014 at a cost of Rs 1.5 crore. Since then, the board has been relying on this stationary machine, which is effective around a 4km radius of Vikas Sadan. Experts also upheld the need to have more monitoring machines, get a clearer picture of the level of air pollution. ""There is only one machine here, some 20km away from the city's congested areas such as DLF Cyber City, MG Road and Golf Course road. There is an urgent need to install one more station,"" said Niranjan Raje, a former member of the Environment Pollution (Prevention and Control) Authority.
For Reprint Rights: timescontent.com

Load-Date: November 7, 2016",1,Document,Haryana State Pollution Control Board (HSPCB),0,0,0,"Central Pollution Control Board (CPCB), former member of the Environment Pollution (Prevention and Control) Authority Niranjan Raje, state head office",0,0,Gurgaon,Stymied Progress,Explicit Policy Solution,Air pollution measurement station needed,Modernist,Mobilization of Support
1 dead as smog engulfs Bareilly,The Times of India (TOI),11-09-2016,BAREILLY,"BAREILLY: The unprecedented level of air pollution enveloping National Capital Region (NCR) has now spread to western Uttar Pradesh reducing visibility to a low usually seen between December 25 and January 10, the peak winter days, due to low temperatures, humidity and absence of wind. On Sunday morning, poor visibility resulted in a pile-up on National Highway 24 involving eight vehicles. 
One person was killed and six persons were injured. The condition of one of the injured is stated to be serious.According to sources, owing to low visibility conditions, two trucks collided at about 7:30 am on Bilwa flyover in Bhojipura. This triggered a pile-up as vehicles going towards Lucknow began colliding into the first crash site, resulting in injuries to half-a-dozen commuters.""We were on board a DCM truck carrying domestic goods to our village at Riccha, Bareilly when our vehicle suddenly collided with another vehicle on Bilwa flyover. There were several repeated impacts of collision, after which I fell unconscious,"" said Mohammed Yakub, 55. According to a witness, the collision between trucks was followed by a pile-up due to low visibility on the flyover. Some onlookers tried to make noise to deter incoming vehicles from crashing into the pile-up.The smog condition has made roads more vulnerable to accidents, with similar pile-ups being reported from other parts of NH 24. Around a dozen vehicles collided on NH 24 in Hapur, leaving another half a dozen injured. No fatalities have yet been reported from there.At least 12 people were injured in a pile-up of over 20 vehicles on Yamuna Expressway near Delhi on Thursday .
For Reprint Rights: timescontent.com

Load-Date: November 8, 2016",1,Document,0,0,"Drivers, passengers",0,0,0,0,Bareilly,Warning Tale,Implicit Policy Reference,Smog caused accidents,Fatalist,Mobilization of Support
"Noida's air, and home of birds, under assault",The Times of India (TOI),12-11-2016,NOIDA,"Noida: A bonfire of dried leaves, twigs and tree branches continues to rage on a stretch leading up to the Okhla Bird Sanctuary (OBS), a few steps away from its entrance at the Noida end, despite a standing ban on leaf burning imposed by the National Green Tribunal.The fire is steadily spreading on the horticultural waste lying on the kilometre-long stretch, with no one to care a fig for the lasting damage the smoke is doing to the environment. The green waste is set on fire periodically.The burning of horticultural waste in the area, which is part of the eco-sensitive zone of the OBS, is now a routine affair.Officers and forest guards stationed at the sanctuary told TOI that the horticultural waste was being set on fire by Noida Authority workers themselves. The waste is dumped in the area for some days and then someone turns up one fine day and sets it on fire, an OBS official said.Strangely enough, the Noida Authority's horticulture department feigned ignorance about dumping of waste or the burning. 
""The side of the road where the waste is burning is not under our jurisdiction, we can't say who is burning the leaves there,"" Om Bir Singh, director, horticulture, said.""The Noida Authority has repeatedly been advised to not burn horticultural waste in the city. We have told them many times too, especially with the NGT regulations in place, it is a serious violation of the rules. I shall ask them to stop this immediately,"" B B Awasthi, regional officer, Uttar Pradesh Pollution Control Board, said.Burning of crop stubble and horticultural waste is a major cause of high air pollution level in the NCR during winter months.
For Reprint Rights: timescontent.com

Load-Date: December 10, 2016",1,Document,"Uttar Pradesh Pollution Control Board regional officer B B Awasthi, National Green Tribunal",Noida Authority workers,environment,0,Okhla Bird Sanctuary (OBS) officials,horticulture director Om Bir Singh,0,Noida,Story of Helplessness and Control,Explicit Policy Solution,No burning of dry waste,Hierarchist,Mechanical
Madhya Pradesh government to slap heavy penalty and spot fine for burning solid waste,The Times of India (TOI),12/20/2016,BHOPAL,"BHOPAL: Taking a lesson from alarming level of air pollution because of heavy smog in Delhi, the Madhya Pradesh government has decided to slap heavy penalty and spot fine for burning solid waste and hazardous material in the open.""The spot fine may vary up to Rs 50,000 and it is for the first time that such a rule has been imposed,"" said officials in the state urban development, housing and environment department.As per a notification issued by the department to all municipal corporations, municipalities and nagar panchayats, smog and fog had stalled routine activities in metros, including Delhi and its satellite townships. To avert a situation like this in cities here, the state government has decided to implement Section 18 (1) B of Prevention and Control of Pollution Act under Central Pollution Control Board (CPCB) which clearly suggests stringent measures to control solid waste disposal in the open.The department emphasised that under the Solid Waste Management Rule, 2016, all the municipal bodies should ensure proper disposal of domestic waste, waste from puja and religious functions, agriculture waste, disposal of plastic and polythene besides paper and civic waste. ""Those found burning any of these wastes in the open should be slapped with spot fine,"" said the department notification.It further said that municipal bodies should form inspection teams to visit and examine places falling under their jurisdiction and create awareness among the public. 
It further said that agriculture and crop waste, biomass and waste from trees and plants should be utilised in manufacturing bio-fertiliser that could be used in gardens. ""Waste material to be burned should be given to power plants and civic administration should make arrangements for transportation,"" said officials.The department has also mentioned of timely removal of waste material from dumping areas, especially during the night or early in the morning so that the same could be disposed of before being burned.
For Reprint Rights: timescontent.com

Load-Date: December 19, 2016",1,Document,Madhya Pradesh government,burning waste,0,0,Central Pollution Control Board (CPCB),0,0,Bhopal,Regulatory Enforcement,Explicit Policy Solution,Fine introduced,Hierarchist,Mobilization of Support
'No chemical used on Kotla pillar',The Times of India (TOI),12-06-2016,DELHI,"New Delhi: The Archaeological Survey of India (ASI) has denied any chemical treatment of the Ashokan pillar at Ferozeshah Kotla in the past 20 years. Officers of its science department, based in Dehradun, are likely to visit the site next week to start a full-scale investigation to determine the reasons behind the flaking and deterioration of the pillar. After preliminary investigations, ASI has said the decay might have been caused by air pollution and exposure to the nature. 
""This couldn't have happened in a short time. It would have been evolving over decades and then got accelerated for some reason. Once the investigation is over, we will plan its structural conservation and stabilise the existing inscriptions on a priority basis,"" said ASI director (science branch) V K Saxena. In the past 20 years or so, ASI has only ""done scientific cleaning and preservation. The quality of the stone is such that we try to monitor them as much as possible despite having limited staff,"" he said, ruling out any possibility of the inscriptions getting damaged by chemicals. The science branch, set up in 1917, primarily looks after chemical treatment and preservation of museum exhibits and the antiquities under national protection. It also studies causes of any deterioration for better preservation.Sources in the culture ministry said it was critical to know if the flaking was a recent phenomenon or developed over time. ""In any case, ASI should have been noticed the decay so that the inscriptions could have been saved in entirety,"" said an official. ASI is reported to be toying with the idea of a protective cover over the pillar. ""The option will be explored if the investigations point at environmental factors,"" said a source.
For Reprint Rights: timescontent.com

Load-Date: December 5, 2016",1,Document,0,0,Ashoka Pillar,Ashoka Pillar,0,0,0,Delhi,Story of Decline,Implicit Policy Reference,Air pollution may have caused the deterioration of the iron pillar in Delhi,0,0
Is China's future-ready plan better?,The Times of India (TOI),1/27/2017,HEALTH NEWS,"Had the graded response action plan been in place in 2016, the city would have seen the odd-even scheme just five times over 19 days. Similarly , other ""emergency"" interventions, including a blanket ban on construction activities, would have scarcely been implemented.In contrast, if Beijing's system were to be implemented in Delhi, the red alert (most severe) would have covered 78 days in the year. This is because the Chinese city's system is far more stringent and mainly relies on smog forecasts, instead of actual recorded concentrations. This, according to some experts, helps Beijing prevent, or quickly tide over, very severe pollution episodes.Greenpeace's air quality campaigners recently analysed how Beijing and Delhi's alert systems would play out in 2016 using R Studio -an open source data analytics software. 
They sourced daily average PM2.5 (fine, respirable pollution particles) and PM10 (coarse pollution particles) data from CPCB for 2016.Delhi would have had 67 ""severe"" and 110 ""very poor"" days, as specified in the graded response action plan.While experts welcomed the graded response action plan, being enforced by the SC mandated Environment Pollution Control Authority in Delhi NCR, a lag of 48 hours in declaring ""emergency"" could reduce its impact and might allow the worst to pass before it came into force, they said.Lauri Myllyvirta, senior air pollution campaigner, said: ""A delay of 48 hours to initiate the response and, presumably at least 24 hours more before the measures start to have a significant impact, is an issue. As severe smog events take at least 48 hours to build up, the measures should be in effect at least two days before, not two days after the pollution levels peak."" On three out of five occasions, the response would only have been initiated after the worst peak had already passed, added Myllyvirta.In fact, based on the analysis, he suggested that emergency response could be maintained over the winter months continuously when pollution levels were high. ""If measures are relaxed as soon as PM levels fall from emergency to, say , severe, this can render the interventions ineffective.""Unlike Delhi where the high pollution months are clearly identifiable, in Beijing the levels are variable through the year. Beijing revised its alert system recently based on its experience of previous winters.Its system is entirely based on forecast or smog predictions now -for example, a red alert is issued as soon as air pollution forecasts show four continuous days of heavy pollution, of which two days may have severe pollution. The same method was followed last December when Beijing had a red alert for seven days. ""Most of China's city-level response plans use forecast or predicted pollution scenarios as criteria. To make a forecast reliable, China's ministry of environment protection and bureau of meteorology have been advancing the technical mechanism, including an emission inventory ,"" said Linsai Dong, climate and energy campaigner in Beijing.Beijing issued two red alerts each in 2015 and 2016, which according to its environmental bureau's analysis, reduced 30% of local emissions, added Linsai. ""Red alerts in 2016 have been sent in a more organised way -when the ministry of environment protection predicted that the re will be an severe and longlasting smog episodes in December, it sent pre-warnings to the municipalities, including Beijing, notifying the predicted air pollution episodes and encouraging red alerts,"" she said.A CPCB official told TOI, ""As of now, the plan is to introduce emergency response only when we have 48-hour emergency levels. People are worried about a November 2016-like smog episode when levels shoot through the roof. But we feel that was a one-off. We are also working on forecasts and have partnered IMD to make predictions robust.""He also said that the graded response action plan meant to prevent an emergency episode altogether.Delhi's action plan for ""severe"" air days involves closing brick kilns and hot-mix plants, intensifying use of public transport, introducing differential rates during off-peak hours and mechanised cleaning of roads. In ""very poor"" days, it mandates a ban on the use of diesel generator sets and imposing a hike in parking fee by three to four times.
For Reprint Rights: timescontent.com

Load-Date: January 26, 2017",1,Document,"Lauri Myllyvirta (senior air pollution campaigner), Environment Pollution Control Authority, Central Pollution Control Board (CPCB)",0,0,0,"Greenpeace, SC, IMD",0,0,Delhi,Restoration,Explicit Policy Solution,Policies to control pollution planned,Modernist,Concentrating Costs and Diffusing Benefits
Police officials of UP to greet rickshaw pullers and auto drivers 'Happy New Year',The Times of India (TOI),01-01-2017,AGRA,"AGRA: With a motto to start the new year on a positive note, all police officials including senior superintendent of police to inspector-level officers have been asked to wish a good year to the rickshaw pullers, auto drivers and sensitise them about traffic norms apart from turning them into good assets for information gathering. In an official letter written to all the officers of Uttar Pradesh police, DGP Javeed Ahmad has asked the officers to follow new practice from new year.Focusing on the menace of traffic jams, in the letter DGP has urged the police officials to conduct a meeting at police stations and greet the drivers of auto rickshaw, vans and rickshaw pullers on January 1, 2017 and create an awareness among them about traffic rules, such as avoiding over speeding, illegal parking, assuring safe journey for passengers and awarenewss about air pollution. 
DGP has asked his men to create cordial relationship with the auto drivers and rickshaw pullers in an attempt to turn them into good assets for information gathering. ""Make them eyes and ears of police,"" said DGP Ahmad. Mentioning about the two Kairana constables (Shahzad Ali and Dipanshu Tyagi) who nabbed Khalistani militant (Parwinder Singh Pinda) who escaped Nabha jail in the November month, DGP said, ""Due to alertness of our men, the Punjab fugitive was caught which added laurels to UP police, but at the same time our others officers were also criticised for misbehaving with civilians in various incidents. We as a one organisation have to work on bringing change in our behavior to deal with people and serve them with unbiasedness.""
For Reprint Rights: timescontent.com

Load-Date: December 31, 2016",1,Document,"Uttar Pradesh police, DGP Javeed Ahmad",0,0,0,police officials,0,0,Agra,Triumph Over Adversity,Implicit Policy Reference,Awareness Spread,Activist,Mobilization of Support
It'll be Happy Streets in Noida on Sundays,The Times of India (TOI),02-11-2017,NOIDA,"NOIDA: Come Sunday, the city will witness the second edition of Happy Streets - a street carnival to promote non-motorised transport, providing citizens the opportunity to reclaim their streets and connect with others.The weekly event will be launched on Sunday at the one-kilometre-long stretch in front of DLF Mall of India, Sector 18 from 6 am to 9 am and will take place on successive Sundays.An initiative of The Times of India in partnership with Noida Authority, district administration and the police, Happy Streets aims to highlight problems typical of any city - cars usurping roads, shrinking space for pedestrians and cyclists and air pollution shooting up. Inspired by Ciclovia in Columbia's Bogota, an event designed to encourage people to use non-motorised transport with support infrastructure from the district administration, the event which began last year on March 20, was a resounding success following its initial launch as Raahgiri Day movement in Gurgaon in 2013.On offer this Sunday will be a host of activities such as cycling, yoga, zumba, aerobics, karate, games, skating and more with the underlying theme being fun and fitness. (See box). Various cycling, running and other hobby groups are invited to be a part of Happy Streets and participate in multiple activities at the venue on Sunday.District magistrate Nagendra Prasad Singh lends full support to the event and sees the initiative as a cohesive collaboration of cultural vibrancy with the city's growth. 
""I've always called for a cohesive, vibrant, cultural and healthy growth for any city/district along with infrastructural development work and Happy Streets helps bring that to the fore. It's a good and healthy initiative which aims to generate popular sentiments for a healthy civic living which should be encouraged,"" Singh told TOI.Speaking to TOI, Rama Raman, chairperson of the three development authorities in Gautam Budh Nagar and principal secretary, industries maintained that the initiative will motivate Noida to lead a healthy life. ""The Happy Streets concept launched last year had a very positive effect on the normally boring life of Noidaites. I'm sure the second edition of the event will further motivate Noida to lead a healthy and blissful life. My best wishes to all,"" said Raman.Readers can carry their copy of The Times of India newspaper to avail rent-free cycles at the venue.
For Reprint Rights: timescontent.com

Load-Date: February 10, 2017",1,Document,The Times of India,0,0,Citizens,"Noida Authority, district administration and the police, citizens, Nagendra Prasad Singh, Rama Raman chairperson of the three development authorities",0,0,Noida,Restoration,Implicit Policy Reference,Awareness spread,Egalitarian,Mobilization of Support
"Patna, Delhi among most polluted cities: Report",The Times of India (TOI),2/20/2017,POLLUTION,"NEW DELHI: Air pollution is killing two people in India every minute, with the country's environment turning more toxic by the day, says a new study published in the journal 'The Lancet'. According to the study, some of the worst polluted cities of the world are in India. The study, released this week but based on 2010 data, estimates that, globally, 2.7-3.4 million preterm births may be associated with exposure to PM 2.5. South Asia, with 1.6 million preterm births, is the worst hit, the study addedThe review by 48 scientists and experts from 16 international institutions has warned that air pollution has adverse health effects on people even when the concentration of pollutants meets WHO standards. At the same time, it said reducing air pollution will lead to massive health benefits. 
The study, called 'The Lancet Countdown: Tracking Progress on Health and Climate Change' - a review of significant scientific studies - refers to the recent International Energy Agency (IEA) report which had collated PM 2.5 exposure in lower, middle and upper income countries. In the report, Patna and Delhi figure among the most polluted cities, both having an annual PM 2.5 concentration of more than 120 micrograms per cubic metres - about 12 times the WHO guideline. The WHO annual PM 2.5 guideline is 10 micrograms per cubic metres. This IEA report had sourced data from the World Health Organisation (WHO's) urban air quality database of 2016. ""An estimated 18,000 people die every day because of exposure to ambient and household air pollution, making it the world's largest single environmental health risk. Ambient air pollution is particularly pertinent in urban areas, but it also affects non-urban populations,"" the Lancet Countdown states.""About 80% of people living in urban areas around the world are exposed to air pollution levels in excess of WHO guidelines. This number rises to 98% for urban populations in low-income and middle-income countries,"" the countdown states. The report also adds that household air pollution that results from use of solid fuels and other biomass contributes to around 4.3 million deaths annually, which are related to pneumonia, stroke, lung cancer, heart disease, and chronic obstructive pulmonary disease (COPD).The Lancet Countdown will report annually in The Lancet journal. The institutions involved in the project includes bodies such as University College London, Tsinghua University and the Centre for Climate & Security among others. They have collaborated with the World Health Organization (WHO) and the World Meteorological Organisation (WMO) too. The report underlines that air pollution and climate change are related and addressing air pollution will have climate change benefits too.
For Reprint Rights: timescontent.com

Load-Date: February 20, 2017",1,Document,"The Lancet, scientists, international institutions",0,People,0,"University College London, Tsinghua University and the Centre for Climate & Security, World Health Organization (WHO) and the World Meteorological Organisation (WMO)",0,0,India,Warning Tale,Implicit Policy Reference,Effects of air pollution shared,Fatalist,Mobilization of Support
MPCB issues notice to car service centre,The Times of India (TOI),3/14/2017,NAGPUR,"Nagpur: The Maharashtra Pollution Control Board (MPCB) has issued notice to a car dealership and its service centre on Ghat Road for violating environmental norms.Following a complaint filed by RTI activist Kamlesh Shah regarding unscientific disposal of waste water, the board officials recently conducted a on-the-spot inspection and found that the effluent treatment plant (ETP) was not operational.As per the inspection report, the service centre is violating the provisions of Water (Prevention and Control of Pollution) Act, 1974, and Air (Prevention and Control of Pollution) Act, 1981, and Hazardous Waste (Management, Handling and Transboundary Movement) Rules, 2008. Thought the car service centre has an ETP to treat waste water generated from the washing section, the effluent generated after washing the vehicles is being discharged outside the premises without any treatment. Apart from this, the centre did not provide any records related to generation and disposal of hazardous waste. ""Oil skimmer was also not provided to the ETP,"" the report said.Following this, the board has issued a showcause notice to the centre and directed the owner to send a reply within seven days. 
In case of non-compliance, the board can close the unit.""In his complaint, Shah has pointed out that contaminated water containing oil, grease and other pollutants is damaging the environment. ""Many car workshops in the city are not using ETPs. MPCB field officials should do regular monitoring of such units,"" Shah said, adding that at some places, waste water is being discharged into Nag river. ""Action should be taken as per section 33 of Water (Prevention and Control of Pollution) Act, 1974,"" he said. A senior board official said the waste water generated from the car washing section contains hazardous chemicals. ""When the water is released without treatment, it pollutes drainage as well as groundwater,"" the official said.Last year, after taking note of TOI's report on contamination of water at Shukla Nagar near Manewada ring road by a car service centre, MPCB had issued a notice to the owner and also instructed to set up an effluent treatment plant to treat waste water on his premises. The dirty water, containing oil, grease and other pollutants after servicing and car washing was being directly released into the main drainage line of the area. It had not just resulted in choking of the drainage pipeline but also caused internal seepage due to which the contaminated water had started entering the local wells of the residents.
For Reprint Rights: timescontent.com

Load-Date: March 13, 2017",1,Document,RTI activist Kamlesh Shah,car dealership,residents,0,Maharashtra Pollution Control Board (MPCB),0,0,Nagpur,Regulatory Enforcement,Explicit Policy Solution,Closure of unit in case of non=compliance,Hierarchist,Concentrating Costs and Diffusing Benefits
50 illegal crusher units to be sealed,The Times of India (TOI),03-09-2017,BHUBANESWAR,"BHUBANESWAR: The Odisha State Pollution Control Board (OSPCB) on Tuesday made an additional list of 50 illegal crusher units in Khurda district to seal those. The units have violated pollution control norms. The pollution panel has set March 17 and 18 deadline to seal these units with the help of local administration. 
On January 30, the board sealed 22 unauthorised units. The district administration has been informed about the 50 units that will be shut, said OSPCB regional officer (Bhubaneswar) Hadibandhu Panigrahi. ""Like the 22 sealed units, the 50 crushers also didn't take site permission from the local administration. The crusher units come under our purview as they cause air pollution. The dust particles coming out of the units during processing is harmful to the nearby habitation. The units don't have the mandatory consent to operate certificate,"" he said.""We will physically seal the units in the presence of police and officials from the energy department. The electricity supply to the units will be discontinued,"" Panigrahi said.According to the site criteria, the units should be located at a minimum distance of 200 metres from the National Highway and State Highway. It should operate 500 metres away from the habitations.Pollution board sources said since the units are not located at the distance prescribed by the pollution board, dust concentration in the nearby habitation (within three km radius of crushers) was found to be nearly 1,000 micro gram per metre cube while the permissible limit is 600 micro gram. In another development, the seven stone quarries operating at Tangi in Khurda district, which were served show cause notice, have given in writing to the board not to use high-intensity explosives for blasting of stones. The board had issued advisory to use low-intensity explosives.
For Reprint Rights: timescontent.com

Load-Date: March 8, 2017",1,Document,"Odisha State Pollution Control Board (OSPCB), OSPCB regional officer (Bhubaneswar) Hadibandhu Panigrahi","illegal crusher units, stone quarries",nearby habitation,0,0,0,0,Bhubaneswar,Regulatory Enforcement,Explicit Policy Solution,Polluting units sealed,Hierarchist,Concentrating Costs and Diffusing Benefits
Prod for stench-free Howrah station,The Times of India (TOI),4/27/2017,KOLKATA,"KOLKATA: The first thing that hits the nostrils after one alights from a premier train like the Rajdhani Express at Howrah station is the stench of uncleared sewerage. The station - touted as the Gateway to Kolkata - leaves a lot to be desired as far as cleanliness is concerned. Therefore, the National Green Tribunal (NGT) has issued notices to Railway Board, Eastern Railway, South Eastern Railway and West Bengal Pollution Control Board, regarding cleanliness at one of the busiest stations in the country. 
Nearly 8.5 lakh passengers use the Howrah station every day.In an application to the NGT, environment activist Subhas Datta submitted 135 pairs of long-distance trains use the station everyday. Each of these trains have 15-18 passenger coaches. With four toilets in each coach, nearly 26,000 mobile toilets pass through the station every day.""Most coaches haven't been fitted with bio-toilets. People use the toilets even when the trains are on the platforms. Save for platform 9, used by premier trains like Rajdhani, none of the platforms are properly or regularly cleaned. Due to this, the entire stretches of the platforms emit a stench. Except for the the platform ends, the remaining portions are covered causing lack of air circulation. Passengers are subjected to severe air pollution for which the tracks should be washed every two hours. Gradually, all long-distance trains should be fitted with bio-toilets,"" Datta submitted before the bench of Justice S P Wangdi and expert member Ranjan Chatterjee.The activist added, the capacity of the sewerage treatment plant at the station needs to be enhanced. ""The plant was set up in 1995 after Supreme Court directions. The station had 16 platforms then. Now, there are 23 platforms.There are also seven eateries and restaurants within the station complex. These should seek consents to operate from the pollution control board. So should the Yatri Niwas at the New Complex. Solid waste, primarily plastic, collected from the coaches of trains that terminate at the stations and pantry cars are dumped beside the tracks at the Howrah rail yard. This should be stopped immediately,"" the applicant added. Based on the application, the NGT issued the notices and set the next date of hearing on May 23. The pollution board has been directed to inspect the station. Railway authorities have been directed to provide all assistance to the board.
For Reprint Rights: timescontent.com

Load-Date: April 26, 2017",1,Document,"environment activist Subhas Datta, National Green Tribunal (NGT)",uncleared sewerage,Passengers,0,"Railway Board, Eastern Railway, South Eastern Railway and West Bengal Pollution Control Board",0,0,Kolkata,Hero's Journey,Explicit Policy Solution,Suggestions made to curb air pollution,Hierarchist,Mobilization of Support
"Dust chokes Gurgaon, greens blame it on construction",The Times of India (TOI),04-01-2017,GURGAON,"GURUGRAM: The Millennium City remained the country's second most polluted city for 24 hours with Air Quality Index (AQI) reported at 337 between Wednesday and Thursday. The most polluted city was Gaya with AQI recorded at 352, while the third most polluted city was Lucknow with AQI level at 321. The AQI in Delhi, on the other hand, was recorded at 264. While officials blamed dust storm from Rajasthan for increase in the air pollution levels, activists blamed increase in construction activity. 
""North-westerly winds are bringing in dust storm from Rajasthan. That is why, an increase in fine particles (PM2.5) has been noticed, which led to an increase in AQI. Other pollutants such as nitrogen dioxide, sulphur dioxide and carbon monoxide remained were well under prescribed standard,"" said an HSPCB (Haryana State Pollution Control Board) official.Experts blamed widespread construction activities arounds the national highways. ""Huge construction activity is going around national highway-8 and Golf Course Road. The construction activity not only increases dust pollution, but also traffic congestion. Green cover around the national highway has been destroyed. All these factors are making Gurgaon one of the most polluted city in the country,"" said Niranjan Raje, a member of the Environment Pollution Control Authority (EPCA). Meanwhile Met department said wind speed is expected to go up in the next few days. ""Pollution levels generally come down with increase in the wind speed, however that is not the case this year, "" said a Met official.
For Reprint Rights: timescontent.com

Load-Date: March 31, 2017",1,Document,"Niranjan Raje, a member of the Environment Pollution Control Authority (EPCA), environment activists","dust storm from Rajasthan, construction activity",0,0,HSPCB (Haryana State Pollution Control Board),0,0,Gurgaon,Story of Decline,Implicit Policy Reference,excessive construction,Hierarchist,Mobilization of Support
Action against slaughterhouse,The Times of India (TOI),5/25/2017,PUNE,"Pune: The Maharashtra Pollution Control Board's (MPCB) regional office in Pune has shut down a private slaughterhouse in Solapur for flouting several environment regulations.MPCB officials, after visiting the slaughterhouse - Son Ankur Exports Pvt Ltd - on May 11, found its bio-methanation plant, which converts waste to biogas, to be inoperative. The regional officer of MPCB, Pune, J S Salunke, told TOI that the slaughterhouse was shut recently.The MPCB directive of closure sent to the company recently, under the Water (Prevention and Control of Pollution) Act of 1974 and Air (Prevention and Control of Pollution) Act, 1981, said the company had failed to submit a no-objection certificate or NOC from the Central Ground Water Authority (CGWA). tnn
For Reprint Rights: timescontent.com

Load-Date: May 24, 2017",1,Document,Maharashtra Pollution Control Board's (MPCB) regional office in Pune,private slaughterhouse in Solapur,0,0,0,0,0,Pune,Regulatory Enforcement,Explicit Policy Solution,Business shut and clearance requested,Hierarchist,Angel Shift
Social media drive to preserve the hill range,The Times of India (TOI),06-02-2017,NAVI MUMBAI,"Navi Mumbai: The Public Relations Council of India (PRCI), a communication professionals' body, has launched a social media campaign to focus on reckless quarrying that is destroying the once picturesque Parsik Hills range. Titled ""IamParsikHill and IamDying"", the campaign will be taken up on twitter, Facebook and Youtube. PRCI national president, BN Kumar said ""Relentless blasting of Parsik Hills, has caused huge destruction and air pollution, which adversely impacts the health of the citizens living in the vicinity. The MPCB has said that the air pollution levels in the areas around the quarries are a 100 times more than the acceptable levels. Once the colleges reopen, we will involve students in spreading awareness.""-George Mendonca
For Reprint Rights: timescontent.com

Load-Date: June 1, 2017",1,Document,Public Relations Council of India (PRCI),reckless quarrying,citizens living in the vicinity,0,MPCB,0,0,Navi Mumbai,Story of Decline,Implicit Policy Reference,Quarrying causing air pollution,Activist,Mobilization of Support
India would need to bring 88 sq. Km. land under waste disposal by 2050: Study,The Times of India (TOI),6/26/2017,INDIA,"MANGALURU: Considering the present scenario of waste management in India, where most of the waste is dumped without treatment, it would require an estimated 88 square kilometer (sq. km.) of precious land to be brought under waste disposal through landfilling by 2050, which is equivalent to the size of area under administration of New Delhi Municipal Council (NDMC), noted a recent joint study by ASSOCHAM and PwC.""This will eventually render the land unfit for any other use for as long as a half century before it can be stabilised for other uses,"" said the report titled, 'Waste Management in India: Shifting Gears,' jointly conducted by ASSOCHAM and global consulting firm PwC (PricewaterhouseCoopers).As such it is imperative to relook into present systems of waste management in the country, suggested the ASSOCHAM-PwC study.As per a previous estimate, by 2050 about 50 per cent of India's population will be living in urban areas, and the volume of waste generation will grow by 5% per year.Accordingly, the expected waste quantity we are looking at for the year 2021, 2031, and 2050 are 101 million metric tonnes (MMT) per year, 164 MMT, and 436 MMT per year respectively.The report noted that waste generation of Class I cities (with population between 0.1 million to five million) in India has been estimated to be around 80 per cent of country's total waste generation.Highlighting the concerns about per capita waste generation rate, the study said that presently it is about 300-400 gm/capita for medium cities and 400-600 gm/capita for large cities. 
""This is going to increase with the present trend of urbanisation and consumption patterns.""On the need for proper waste treatment to generate environmental and monetary benefits, the study said that poorly managed waste has direct implications to urban environment, leading to air, water, and soil pollution, together with long-term health impacts, while it has indirect implications to our economy and growth prospects.However, improper planning for waste management, complex institutional setup, constraints in capacity for waste management using modern techniques and best practices, and limited funds with urban local bodies (ULBs) are some of the reasons waste management in India has become an area of concern.It also said that though private sector can play a critical and greater role in waste management in India, there are a various issues and bottlenecks on different fronts that have made it challenging to successfully implement projects - policy and regulatory, financing, project conceptualisation and structuring, technology and capacity.The ASSOCHAM-PwC study has recommended the government to accord industry status to waste management sector to provide it necessary boost and regulatory adherence with dedicated monitoring and compliance cell.""
For Reprint Rights: timescontent.com

Load-Date: June 25, 2017",1,Document,ASSOCHAM and PwC,poorly managed waste,Economy,0,0,0,0,India,Warning Tale,Explicit Policy Solution,Solutions to pollution provided,Individualist,Accidental
